,Usia,Gender,Gaji,Jumlah-Anak
353,32,P,1-3jt,6
354,27,L,5-10jt,1
355,40,P,5-10jt,4
356,55,L,3-5jt,3
357,60,P,3-5jt,1
358,20,P,3-5jt,2
359,24,P,1-3jt,1
360,49,L,1-3jt,3
361,32,P,3-5jt,3
362,49,L,3-5jt,3
363,26,P,5-10jt,2
364,42,P,3-5jt,0
365,23,L,1-3jt,6
366,42,L,5-10jt,4
367,28,L,3-5jt,4
368,36,P,1-3jt,5
369,38,L,1-3jt,4
370,58,P,5-10jt,5
371,50,P,3-5jt,3
372,35,P,1-3jt,5
373,34,P,3-5jt,5
374,48,P,5-10jt,3
375,41,L,1-3jt,4
376,48,P,5-10jt,4
377,21,P,5-10jt,5
378,38,L,1-3jt,1
379,47,L,3-5jt,1
380,25,P,3-5jt,2
381,50,P,1-3jt,0
382,46,P,3-5jt,3
383,29,L,1-3jt,0
384,42,P,1-3jt,3
385,58,L,5-10jt,2
386,45,L,1-3jt,0
387,20,L,5-10jt,6
388,52,P,1-3jt,2
389,54,L,1-3jt,5
390,18,L,1-3jt,1
391,20,P,1-3jt,2
392,47,L,3-5jt,6
393,27,L,5-10jt,4
394,54,L,5-10jt,6
395,39,L,5-10jt,2
396,31,P,3-5jt,2
397,57,P,3-5jt,6
398,36,P,5-10jt,5
399,19,P,1-3jt,3
400,45,P,1-3jt,1
401,58,P,5-10jt,2
402,25,P,3-5jt,1
403,28,L,1-3jt,6
404,40,P,5-10jt,4
405,38,P,5-10jt,2
406,48,L,1-3jt,5
407,22,P,1-3jt,3
408,35,P,3-5jt,2
409,39,L,5-10jt,0
410,45,L,5-10jt,2
411,56,L,1-3jt,5
412,48,P,3-5jt,6
413,26,P,5-10jt,6
414,36,L,5-10jt,0
415,44,P,5-10jt,2
416,19,L,5-10jt,2
417,28,P,1-3jt,2
418,49,L,5-10jt,2
419,18,P,1-3jt,4
420,26,L,5-10jt,5
421,24,P,1-3jt,4
422,50,L,1-3jt,2
423,36,P,3-5jt,0
424,25,P,1-3jt,0
425,60,L,3-5jt,4
426,20,L,1-3jt,5
427,32,L,3-5jt,5
428,40,P,3-5jt,2
429,34,L,1-3jt,1
430,27,P,5-10jt,3
431,35,L,1-3jt,0
432,32,P,5-10jt,5
433,51,L,3-5jt,0
434,31,L,5-10jt,5
435,49,L,5-10jt,1
436,30,P,3-5jt,5
437,32,L,3-5jt,4
438,29,P,3-5jt,5
439,59,P,3-5jt,6
440,24,P,3-5jt,1
441,42,L,1-3jt,4
442,46,P,1-3jt,0
443,46,L,5-10jt,0
444,46,L,5-10jt,6
445,49,L,5-10jt,3
446,35,P,1-3jt,6
447,59,L,1-3jt,2
448,41,L,3-5jt,0
449,27,L,1-3jt,4
450,33,L,1-3jt,3
451,23,P,3-5jt,6
452,53,P,3-5jt,6
453,58,P,3-5jt,2
454,19,P,1-3jt,5
455,23,L,5-10jt,0
456,37,P,1-3jt,5
457,43,L,1-3jt,0
458,49,P,1-3jt,1
459,38,L,5-10jt,3
460,26,P,1-3jt,5
461,55,P,1-3jt,0
462,20,P,3-5jt,0
463,58,L,5-10jt,2
464,27,P,3-5jt,1
465,23,L,1-3jt,3
466,48,P,3-5jt,0
467,26,P,3-5jt,5
468,35,P,5-10jt,0
469,50,L,5-10jt,5
470,36,L,3-5jt,6
471,28,L,3-5jt,6
472,24,L,1-3jt,2
473,55,P,1-3jt,6
474,28,L,1-3jt,3
475,18,L,5-10jt,4
476,21,P,3-5jt,0
477,24,L,5-10jt,5
478,50,L,5-10jt,4
479,46,L,5-10jt,3
480,41,L,3-5jt,3
481,31,L,1-3jt,5
482,19,P,1-3jt,0
483,40,L,5-10jt,3
484,21,P,3-5jt,6
485,40,L,1-3jt,3
486,44,L,5-10jt,3
487,53,P,5-10jt,3
488,50,P,5-10jt,5
489,47,L,3-5jt,0
490,17,L,3-5jt,6
491,43,L,3-5jt,1
492,59,P,5-10jt,3
493,44,P,3-5jt,4
494,27,P,5-10jt,2
495,46,P,5-10jt,6
496,24,L,1-3jt,2
497,17,L,5-10jt,2
498,17,P,3-5jt,0
499,43,L,1-3jt,4
500,42,L,1-3jt,4
501,55,L,1-3jt,4
502,52,L,3-5jt,5
503,30,P,5-10jt,1
504,47,L,1-3jt,5
505,26,P,5-10jt,1
506,45,L,5-10jt,5
507,44,P,1-3jt,2
508,60,P,3-5jt,0
509,21,L,1-3jt,0
510,36,L,5-10jt,5
511,41,L,3-5jt,4
512,29,L,1-3jt,3
513,40,L,1-3jt,2
514,53,L,5-10jt,3
515,52,P,3-5jt,6
516,49,P,3-5jt,2
517,51,L,5-10jt,4
518,29,P,1-3jt,5
519,57,L,1-3jt,2
520,32,L,3-5jt,5
521,35,P,5-10jt,2
522,57,P,1-3jt,4
523,38,L,1-3jt,2
524,19,P,3-5jt,0
525,35,P,1-3jt,6
526,56,L,5-10jt,4
527,53,P,3-5jt,0
528,26,L,5-10jt,3
529,46,P,3-5jt,1
530,44,P,1-3jt,3
531,54,L,1-3jt,3
532,57,P,5-10jt,4
533,49,P,3-5jt,0
534,59,P,1-3jt,4
535,56,L,1-3jt,6
536,56,P,1-3jt,6
537,47,P,1-3jt,4
538,51,P,3-5jt,3
539,51,L,5-10jt,1
540,23,P,5-10jt,5
541,36,P,5-10jt,4
542,23,P,1-3jt,3
543,57,P,1-3jt,4
544,45,L,5-10jt,2
545,57,L,1-3jt,3
546,39,P,3-5jt,2
547,58,L,3-5jt,4
548,42,P,3-5jt,0
549,33,L,3-5jt,3
550,46,P,3-5jt,6
551,48,L,1-3jt,1
552,57,L,1-3jt,0
553,27,P,1-3jt,0
554,39,P,1-3jt,3
555,43,L,5-10jt,4
556,45,P,3-5jt,3
557,58,L,3-5jt,2
558,45,L,5-10jt,5
559,54,L,3-5jt,3
560,36,L,5-10jt,0
561,45,L,1-3jt,0
562,17,P,3-5jt,5
563,49,P,5-10jt,3
564,32,L,1-3jt,3
565,55,P,3-5jt,3
566,34,P,5-10jt,2
567,54,P,1-3jt,0
568,31,P,3-5jt,2
569,30,L,5-10jt,5
570,31,P,1-3jt,3
571,42,L,3-5jt,3
572,17,L,5-10jt,6
573,26,P,3-5jt,6
574,53,L,5-10jt,6
575,47,P,5-10jt,5
576,31,L,5-10jt,0
577,22,P,1-3jt,1
578,57,P,1-3jt,1
579,42,L,1-3jt,4
580,26,L,5-10jt,2
581,25,P,5-10jt,6
582,50,P,1-3jt,2
583,52,P,1-3jt,2
584,31,L,1-3jt,5
585,25,P,5-10jt,1
586,20,P,1-3jt,2
587,28,P,1-3jt,3
588,46,L,3-5jt,0
589,24,P,5-10jt,6
590,54,L,1-3jt,1
591,33,L,5-10jt,6
592,54,L,5-10jt,0
593,52,L,3-5jt,1
594,43,L,5-10jt,4
595,34,P,1-3jt,0
596,22,P,1-3jt,1
597,26,P,1-3jt,1
598,37,P,3-5jt,5
599,24,L,5-10jt,5
600,57,P,1-3jt,0
601,18,L,5-10jt,0
602,32,L,5-10jt,4
603,53,P,1-3jt,4
604,42,P,1-3jt,2
605,38,L,1-3jt,0
606,40,P,3-5jt,1
607,38,P,3-5jt,5
608,59,L,3-5jt,2
609,47,P,3-5jt,6
610,44,L,3-5jt,5
611,57,P,1-3jt,2
612,53,P,5-10jt,6
613,59,P,1-3jt,4
614,56,L,5-10jt,1
615,53,L,5-10jt,4
616,31,L,3-5jt,6
617,34,L,1-3jt,2
618,19,P,3-5jt,5
619,18,L,1-3jt,3
620,45,P,3-5jt,2
621,39,P,1-3jt,4
622,19,P,3-5jt,2
623,30,P,5-10jt,4
624,43,P,3-5jt,1
625,31,L,3-5jt,0
626,39,L,3-5jt,6
627,51,P,5-10jt,0
628,29,P,3-5jt,3
629,18,P,1-3jt,5
630,45,L,1-3jt,0
631,30,P,3-5jt,1
632,48,P,3-5jt,3
633,29,P,1-3jt,5
634,18,P,3-5jt,4
635,34,P,5-10jt,5
636,42,P,3-5jt,0
637,21,L,3-5jt,2
638,41,L,3-5jt,6
639,54,P,5-10jt,0
640,22,P,1-3jt,4
641,29,P,3-5jt,1
642,37,L,3-5jt,2
643,48,P,5-10jt,5
644,37,L,1-3jt,1
645,36,L,5-10jt,2
646,57,P,3-5jt,3
647,23,L,1-3jt,5
648,53,L,1-3jt,3
649,48,L,5-10jt,3
650,50,L,3-5jt,5
651,25,P,1-3jt,0
652,51,P,1-3jt,4
653,21,L,1-3jt,3
654,43,P,5-10jt,3
655,29,L,1-3jt,1
656,48,L,1-3jt,4
657,51,P,5-10jt,5
658,52,L,3-5jt,4
659,24,P,5-10jt,1
660,55,L,1-3jt,5
661,44,L,1-3jt,1
662,59,P,1-3jt,6
663,42,L,5-10jt,0
664,19,P,3-5jt,0
665,57,L,3-5jt,5
666,41,L,1-3jt,6
667,43,L,1-3jt,1
668,25,P,3-5jt,2
669,36,P,3-5jt,4
670,38,P,1-3jt,3
671,44,P,1-3jt,0
672,55,L,3-5jt,5
673,43,L,3-5jt,3
674,60,P,1-3jt,0
675,34,L,3-5jt,6
676,34,P,1-3jt,5
677,30,L,1-3jt,2
678,20,P,1-3jt,4
679,42,L,3-5jt,0
680,42,L,3-5jt,1
681,18,L,5-10jt,2
682,17,L,3-5jt,2
683,49,L,1-3jt,2
684,48,P,3-5jt,1
685,49,P,5-10jt,4
686,50,L,3-5jt,4
687,26,P,3-5jt,5
688,58,L,1-3jt,5
689,53,L,1-3jt,2
690,20,P,3-5jt,6
691,19,P,5-10jt,0
692,52,P,3-5jt,1
693,35,L,1-3jt,3
694,40,P,5-10jt,5
695,19,L,1-3jt,1
696,45,P,3-5jt,3
697,44,P,3-5jt,3
698,54,L,3-5jt,4
699,33,P,1-3jt,1
700,50,L,3-5jt,0
701,34,L,1-3jt,2
702,33,L,1-3jt,0
703,18,L,3-5jt,2
704,24,L,5-10jt,6
705,42,L,5-10jt,6
706,25,L,5-10jt,0
707,43,P,3-5jt,5
708,57,L,1-3jt,3
709,59,P,5-10jt,5
710,19,P,1-3jt,2
711,49,P,3-5jt,5
712,51,P,1-3jt,4
713,46,L,5-10jt,3
714,21,L,5-10jt,6
715,53,P,3-5jt,6
716,23,P,5-10jt,2
717,23,P,1-3jt,6
718,46,P,3-5jt,5
719,27,P,3-5jt,1
720,33,L,5-10jt,4
721,27,L,3-5jt,6
722,56,L,1-3jt,2
723,41,L,3-5jt,5
724,22,L,1-3jt,3
725,49,L,5-10jt,3
726,34,P,3-5jt,1
727,20,P,1-3jt,3
728,33,P,5-10jt,2
729,29,L,3-5jt,1
730,51,L,1-3jt,3
731,33,L,3-5jt,5
732,29,L,3-5jt,2
733,21,L,1-3jt,0
734,50,L,3-5jt,2
735,40,L,5-10jt,2
736,32,L,1-3jt,6
737,29,L,3-5jt,0
738,19,L,3-5jt,2
739,51,L,1-3jt,2
740,42,P,3-5jt,2
741,20,P,5-10jt,6
742,51,L,3-5jt,5
743,42,L,3-5jt,3
744,30,L,5-10jt,0
745,47,L,5-10jt,6
746,45,P,3-5jt,6
747,42,L,5-10jt,4
748,33,L,1-3jt,4
749,28,P,3-5jt,1
750,36,L,3-5jt,1
751,43,L,5-10jt,1
752,21,L,3-5jt,3
753,48,P,1-3jt,4
754,32,P,5-10jt,6
755,48,P,5-10jt,0
756,25,P,3-5jt,0
757,40,P,5-10jt,4
758,41,L,3-5jt,5
759,55,P,1-3jt,3
760,35,P,1-3jt,5
761,33,P,5-10jt,2
762,52,P,5-10jt,3
763,31,L,5-10jt,1
764,41,P,3-5jt,0
765,19,P,1-3jt,2
766,22,P,5-10jt,6
767,32,P,3-5jt,3
768,46,L,1-3jt,0
769,26,L,3-5jt,1
770,21,P,3-5jt,0
771,35,P,3-5jt,2
772,56,P,1-3jt,3
773,18,P,5-10jt,5
774,58,L,3-5jt,3
775,45,L,3-5jt,6
776,20,P,5-10jt,6
777,55,L,3-5jt,5
778,31,L,3-5jt,0
779,37,P,3-5jt,5
780,22,P,3-5jt,0
781,37,L,5-10jt,1
782,56,L,1-3jt,3
783,29,L,5-10jt,0
784,30,P,1-3jt,6
785,32,P,1-3jt,5
786,41,L,5-10jt,3
787,46,L,3-5jt,1
788,33,L,1-3jt,3
789,55,P,3-5jt,6
790,26,P,3-5jt,5
791,53,P,3-5jt,3
792,22,L,1-3jt,1
793,39,P,5-10jt,4
794,56,P,1-3jt,6
795,58,P,1-3jt,2
796,37,L,1-3jt,2
797,34,P,5-10jt,2
798,38,L,3-5jt,3
799,48,L,3-5jt,0
800,60,P,1-3jt,4
801,54,P,3-5jt,2
802,54,L,3-5jt,3
803,35,L,1-3jt,6
804,37,L,1-3jt,0
805,48,P,5-10jt,4
806,52,L,5-10jt,6
807,39,P,5-10jt,3
808,53,L,1-3jt,2
809,57,L,5-10jt,1
810,21,L,5-10jt,2
811,50,P,1-3jt,4
812,40,L,3-5jt,5
813,18,L,1-3jt,0
814,33,P,5-10jt,4
815,35,L,1-3jt,6
816,41,L,3-5jt,1
817,50,P,5-10jt,6
818,43,P,5-10jt,3
819,34,L,1-3jt,1
820,59,P,5-10jt,0
821,20,L,5-10jt,6
822,20,P,5-10jt,3
823,55,L,3-5jt,5
824,58,L,1-3jt,0
825,28,P,1-3jt,6
826,56,L,3-5jt,1
827,23,P,5-10jt,1
828,24,L,5-10jt,3
829,27,L,5-10jt,6
830,34,L,5-10jt,3
831,58,L,5-10jt,4
832,57,L,1-3jt,3
833,41,L,5-10jt,4
834,33,P,3-5jt,1
835,57,L,1-3jt,3
836,41,L,1-3jt,1
837,22,P,5-10jt,5
838,54,P,3-5jt,4
839,27,L,1-3jt,0
840,51,L,1-3jt,2
841,18,P,3-5jt,3
842,57,P,3-5jt,3
843,19,P,1-3jt,4
844,32,L,1-3jt,2
845,45,P,3-5jt,1
846,34,P,3-5jt,1
847,31,P,1-3jt,6
848,23,P,3-5jt,4
849,51,L,5-10jt,5
850,53,L,5-10jt,0
851,39,P,1-3jt,1
852,39,L,3-5jt,6
853,59,L,5-10jt,4
854,19,L,1-3jt,6
855,44,L,5-10jt,2
856,41,L,3-5jt,5
857,52,L,3-5jt,4
858,45,L,3-5jt,2
859,22,L,1-3jt,0
860,34,L,5-10jt,6
861,29,L,1-3jt,4
862,30,L,3-5jt,2
863,51,L,1-3jt,6
864,17,L,1-3jt,5
865,47,P,1-3jt,2
866,54,L,3-5jt,0
867,21,L,1-3jt,1
868,49,P,5-10jt,2
869,38,L,1-3jt,2
870,52,L,5-10jt,6
871,39,P,1-3jt,4
872,41,L,5-10jt,4
873,42,L,5-10jt,4
874,48,P,3-5jt,0
875,35,P,1-3jt,0
876,50,P,1-3jt,3
877,45,L,5-10jt,2
878,50,L,5-10jt,3
879,50,P,3-5jt,5
880,41,P,3-5jt,6
881,38,L,5-10jt,2
882,59,L,3-5jt,4
883,31,L,5-10jt,4
884,58,P,5-10jt,1
885,39,L,3-5jt,2
886,37,P,1-3jt,1
887,53,L,3-5jt,3
888,31,L,3-5jt,5
889,44,P,5-10jt,6
890,46,L,5-10jt,5
891,42,P,5-10jt,1
892,50,P,1-3jt,2
893,42,P,3-5jt,4
894,25,P,5-10jt,4
895,36,L,3-5jt,5
896,18,L,1-3jt,3
897,19,P,3-5jt,2
898,47,L,1-3jt,4
899,43,L,3-5jt,1
900,21,L,1-3jt,5
901,32,P,1-3jt,6
902,45,P,5-10jt,3
903,18,L,3-5jt,4
904,50,L,1-3jt,2
905,35,P,3-5jt,2
906,32,P,1-3jt,2
907,31,L,5-10jt,4
908,30,L,3-5jt,3
909,47,L,5-10jt,1
910,43,P,5-10jt,6
911,55,P,3-5jt,5
912,25,L,5-10jt,5
913,35,P,1-3jt,6
914,35,L,5-10jt,0
915,29,L,1-3jt,1
916,59,L,3-5jt,1
917,17,L,3-5jt,0
918,33,L,3-5jt,5
919,40,L,5-10jt,6
920,50,P,1-3jt,6
921,23,P,5-10jt,2
922,18,L,3-5jt,6
923,37,P,1-3jt,6
924,42,P,1-3jt,2
925,24,L,1-3jt,0
926,28,P,5-10jt,2
927,25,P,1-3jt,0
928,49,L,3-5jt,4
929,40,L,1-3jt,1
930,26,L,1-3jt,3
931,44,P,1-3jt,1
932,39,P,3-5jt,3
933,58,P,1-3jt,6
934,44,L,1-3jt,2
935,21,P,3-5jt,6
936,20,L,3-5jt,0
937,46,P,3-5jt,5
938,17,P,5-10jt,2
939,45,L,1-3jt,3
940,26,L,5-10jt,0
941,26,L,1-3jt,2
942,44,L,5-10jt,1
943,27,L,5-10jt,4
944,45,L,5-10jt,0
945,31,L,5-10jt,3
946,42,L,1-3jt,4
947,46,P,5-10jt,5
948,22,L,5-10jt,5
949,57,L,5-10jt,0
950,25,L,5-10jt,6
951,36,L,1-3jt,6
952,49,P,1-3jt,0
953,39,L,1-3jt,6
954,56,P,3-5jt,6
955,60,P,1-3jt,2
956,45,P,3-5jt,0
957,40,P,5-10jt,3
958,41,P,3-5jt,2
959,60,P,3-5jt,2
960,40,L,1-3jt,2
961,51,P,1-3jt,5
962,47,L,3-5jt,3
963,20,P,3-5jt,5
964,59,L,1-3jt,5
965,27,P,5-10jt,3
966,39,P,5-10jt,6
967,51,P,3-5jt,3
968,38,L,1-3jt,2
969,34,L,5-10jt,1
970,40,L,3-5jt,4
971,50,L,3-5jt,4
972,23,L,3-5jt,0
973,60,L,3-5jt,3
974,53,L,3-5jt,3
975,48,L,5-10jt,5
976,39,L,5-10jt,0
977,19,L,1-3jt,5
978,38,L,5-10jt,2
979,48,P,1-3jt,0
980,39,L,3-5jt,5
981,35,L,3-5jt,0
982,43,L,3-5jt,2
983,37,P,5-10jt,4
984,44,L,5-10jt,5
985,30,L,1-3jt,0
986,39,L,1-3jt,6
987,26,L,3-5jt,4
988,56,L,1-3jt,5
989,33,P,5-10jt,4
990,18,L,3-5jt,1
991,38,L,5-10jt,2
992,33,P,3-5jt,1
993,30,P,1-3jt,5
994,43,L,3-5jt,2
995,49,P,5-10jt,5
